"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"178",6.08,0.15,0.917890309443781,0.877579113759996,626.995967340609,0.405853099163418,0.989318683350506,0.114160707896409,0.945870551664343
"179",6.16,0.15,0.91805902305132,0.878323239202782,627.321142925876,0.403435044171192,0.989351431112327,0.11414173795063,0.946529941829144
"180",6.24,0.15,0.918223364483289,0.87904729328736,627.638375396571,0.401054795216733,0.989383288138324,0.114122961487104,0.947171173270194
"181",6.32,0.15,0.918383510824341,0.879752099210253,627.947968483586,0.398711414189747,0.989414291853921,0.114104380832855,0.947795000659154
"182",6.4,0.15,0.918539629787208,0.88043843642329,628.250210832655,0.396403990985016,0.989444477635424,0.114085997670055,0.948402138096975
"183",6.48,0.15,0.918691880301437,0.881107043424741,628.545376886517,0.394131642700871,0.989473878942308,0.114067813131803,0.948993261739513
"184",6.56,0.15,0.918840413085025,0.881758620365005,628.833727748993,0.391893512903094,0.989502527447007,0.114049827845277,0.949569012229136
"185",6.64,0.15,0.918985371147629,0.882393831437472,629.115511943754,0.389688770837522,0.989530453148301,0.114032041999718,0.95012999694129
"186",6.72,0.15,0.919126890278649,0.883013307118172,629.39096616614,0.387516610693451,0.989557684479957,0.114014455399258,0.950676792071595
"187",6.8,0.15,0.919265099480444,0.883617646222448,629.660315941162,0.385376250841398,0.989584248408528,0.113997067509423,0.951209944565241
"188",6.88,0.15,0.919400121386185,0.884207417832646,629.923776272172,0.383266933111597,0.989610170526126,0.113979877498737,0.951729973912291
"189",6.96,0.15,0.919532072641786,0.884783163082146,630.18155223116,0.381187922074664,0.989635475135911,0.113962884271508,0.952237373812799
"190",7.04,0.15,0.919661064259253,0.885345396814539,630.433839509581,0.379138504330849,0.989660185330373,0.113946086505428,0.95273261372504
"191",7.12,0.15,0.919787201948706,0.885894609130675,630.680824938303,0.377117987821924,0.989684323065008,0.113929482679297,0.953216140306034
"192",7.2,0.15,0.919910586425493,0.886431266828635,630.922686971579,0.37512570115331,0.989707909225965,0.113913071103412,0.95368837875261
"193",7.28,0.15,0.92003131370252,0.886955814750364,631.159596148412,0.373160992947254,0.989730963695103,0.113896849932349,0.954149734051001
"194",7.36,0.15,0.920149475348515,0.887468677027341,631.391715503442,0.371223231178646,0.989753505405956,0.113880817204808,0.954600592140863
"195",7.44,0.15,0.920265158750329,0.887970258260318,631.619200985784,0.369311802576607,0.989775552402116,0.113864970842964,0.955041321003332
"196",7.52,0.15,0.92037844733577,0.888460944602714,631.842201814017,0.367426111993796,0.989797121885777,0.113849308682237,0.955472271673986
